Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250251304041,1011,230,0,12,31,39,185,114,179,80,134,49,52,37,100,83,0,12,31,37,126,63,173,100,0,12,1,1304.04,Suffolk County,Massachusetts
1500000US250251304042,358,122,0,12,0,12,46,44,12,21,40,51,6,10,88,60,29,32,39,31,56,43,33,29,9,15,2,1304.04,Suffolk County,Massachusetts
1500000US250251304043,287,127,0,12,0,12,0,12,12,20,7,12,52,66,56,48,0,12,0,12,48,44,50,51,62,58,3,1304.04,Suffolk County,Massachusetts
1500000US250251304061,976,272,0,12,39,55,51,80,295,189,24,31,9,19,212,141,55,75,0,12,42,57,124,94,125,95,1,1304.06,Suffolk County,Massachusetts
1500000US250251304062,1206,332,0,12,15,26,149,133,35,42,229,133,211,144,219,135,79,90,82,80,95,102,59,70,33,36,2,1304.06,Suffolk County,Massachusetts
1500000US250251304063,180,101,0,12,0,12,0,12,0,12,0,12,21,37,84,61,0,12,19,30,48,47,8,17,0,12,3,1304.06,Suffolk County,Massachusetts
1500000US250251401021,585,213,0,12,0,12,81,104,104,79,81,60,36,44,149,87,37,34,9,14,21,23,36,40,31,36,1,1401.02,Suffolk County,Massachusetts
1500000US250251401022,328,121,8,14,31,28,11,17,22,26,17,19,34,39,71,57,0,12,0,12,63,39,57,38,14,22,2,1401.02,Suffolk County,Massachusetts
1500000US250251401023,420,118,0,12,42,33,12,19,6,10,47,41,22,24,138,75,6,12,21,24,46,38,80,46,0,12,3,1401.02,Suffolk County,Massachusetts
1500000US250251401024,696,226,34,38,24,35,57,66,52,50,126,81,50,44,87,64,57,50,70,55,32,28,79,72,28,45,4,1401.02,Suffolk County,Massachusetts
